"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 20:20:10 UTC 2025","Sat Aug 30 20:21:01 UTC 2025","50734","","Android Tests","","ru.dostaevsky.tests.android.tests.SearchInfoTests","successfulProductSearchTest","[Android] Проверка результатов поиска. Для города ""Новосибирск"", результаты поиска по слову ""пицца"" не равны нулю",""
"passed","Sat Aug 30 20:21:13 UTC 2025","Sat Aug 30 20:21:31 UTC 2025","18363","","Rest API Tests","","ru.dostaevsky.tests.api.tests.reviews.GettingReviewsTests","gettingReviewsWithToken","[API] Получение отзывов о компании с передачей авторизационного токена",""
"passed","Sat Aug 30 20:23:26 UTC 2025","Sat Aug 30 20:23:34 UTC 2025","8037","","Web Tests","","ru.dostaevsky.tests.web.tests.ProductsPriceInfoTests","bowlsPriceComparisonInSelectedCityTest","[WEB] Отображение цен на боулы за пределами СПБ. В городе ""Краснодар"" отображаемые на странице цены на боулы равны ценам из словаря",""
"passed","Sat Aug 30 20:17:46 UTC 2025","Sat Aug 30 20:18:19 UTC 2025","32469","","Android Tests","","ru.dostaevsky.tests.android.tests.SearchInfoTests","successfulProductSearchTest","[Android] Проверка результатов поиска. Для города ""Санкт-Петербург"", результаты поиска по слову ""пицца"" не равны нулю",""
"passed","Sat Aug 30 20:21:31 UTC 2025","Sat Aug 30 20:21:46 UTC 2025","14909","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","addItemToCartAndCheckValueInHeader","[WEB] Проверка отображения цены и количества товара в шапке страницы",""
"passed","Sat Aug 30 20:21:02 UTC 2025","Sat Aug 30 20:21:02 UTC 2025","312","","Rest API Tests","","ru.dostaevsky.tests.api.tests.auth.LoginTests","unregisteredUserLogin","[API] Авторизация незарегистрированного в системе пользователя",""
"passed","Sat Aug 30 20:21:01 UTC 2025","Sat Aug 30 20:21:02 UTC 2025","889","","Rest API Tests","","ru.dostaevsky.tests.api.tests.auth.LoginTests","loginWithoutSmsCodeField","[API] Авторизация в системе без передачи смс кода",""
"passed","Sat Aug 30 20:23:11 UTC 2025","Sat Aug 30 20:23:18 UTC 2025","7567","","Web Tests","","ru.dostaevsky.tests.web.tests.ProductsPriceInfoTests","bowlsPriceComparisonInSelectedCityTest","[WEB] Отображение цен на боулы за пределами СПБ. В городе ""Москва"" отображаемые на странице цены на боулы равны ценам из словаря",""
"passed","Sat Aug 30 20:15:21 UTC 2025","Sat Aug 30 20:15:47 UTC 2025","25979","","Android Tests","","ru.dostaevsky.tests.android.tests.CityInfoTests","selectingCityFromTheListAvailableAndCheckingDisplayInfoTest","[Android] Выбор и отображение информации города. Для города ""Санкт-Петербург"" отображается информация с контактным номером телефона ""+7 (812) 777-80-08""",""
"passed","Sat Aug 30 20:21:46 UTC 2025","Sat Aug 30 20:21:50 UTC 2025","4106","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","checkInfoInEmptyCart","[WEB] Проверка отображения информации о пустой корзине",""
"passed","Sat Aug 30 20:13:36 UTC 2025","Sat Aug 30 20:14:10 UTC 2025","34088","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","checkMinimalPriceToDeliveryInfo","[Android] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Сочи"" равна ""900"" ₽",""
"passed","Sat Aug 30 20:17:18 UTC 2025","Sat Aug 30 20:17:46 UTC 2025","28438","","Android Tests","","ru.dostaevsky.tests.android.tests.CityInfoTests","selectingCityFromTheListAvailableAndCheckingDisplayInfoTest","[Android] Выбор и отображение информации города. Для города ""Новосибирск"" отображается информация с контактным номером телефона ""+7 (383) 207-87-78""",""
"passed","Sat Aug 30 20:22:36 UTC 2025","Sat Aug 30 20:22:42 UTC 2025","6324","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","checkAddedItemValueInCart","[WEB] Проверка отображения цены, количества и наименования товара в корзине",""
"passed","Sat Aug 30 20:22:48 UTC 2025","Sat Aug 30 20:22:54 UTC 2025","6045","","Web Tests","","ru.dostaevsky.tests.web.tests.CityInfoTests","selectCityFromTheListAvailableAndCheckDisplayInfoTest","[WEB] Выбор и отображение информации города. Для города ""Москва"" отображается информация по ссылке ""https://msk.dostaevsky.ru/"" с контактным номером телефона ""8 (495) 788-78-78""",""
"passed","Sat Aug 30 20:23:18 UTC 2025","Sat Aug 30 20:23:26 UTC 2025","7804","","Web Tests","","ru.dostaevsky.tests.web.tests.ProductsPriceInfoTests","bowlsPriceComparisonInSelectedCityTest","[WEB] Отображение цен на боулы за пределами СПБ. В городе ""Сочи"" отображаемые на странице цены на боулы равны ценам из словаря",""
